candidate_id,formula,cif_path,delta_g_h_proxy,thermo_proxy,kinetic_proxy,synthesis_proxy,total_proxy,pred_delta_g_h,pred_thermo,pred_kinetic,pred_synthesis,pred_total,delta_g_h_final,thermo_final,kinetic_final,synthesis_final,total_score
81,WSe2,d:/cursor_file/baseline_material_generation/generated_materials/cif_files\generated_0082.cif,-0.15000000000000002,0.9,0.85,0.9500000000000001,0.7570246544376107,0.09869833290576935,0.9595233798027039,0.9637278318405151,0.7285913228988647,0.8114428225524827,-0.025650833547115337,0.9238093519210816,0.8954911327362061,0.861436529159546,0.9002599988578341
82,VS2,d:/cursor_file/baseline_material_generation/generated_materials/cif_files\generated_0083.cif,-0.15000000000000002,0.9,0.85,0.9500000000000001,0.7570246544376107,0.08023303002119064,0.9669585227966309,0.970874011516571,0.7487145066261292,0.8384106067284823,-0.03488348498940469,0.9267834091186524,0.8983496046066284,0.8694858026504517,0.8896940447853624
83,TiC2,d:/cursor_file/baseline_material_generation/generated_materials/cif_files\generated_0084.cif,0.35,0.9,0.85,0.8,0.6136387855766426,0.25913792848587036,0.95148104429245,0.9674504399299622,0.6717240214347839,0.6739891917284714,0.30456896424293517,0.92059241771698,0.8969801759719849,0.7486896085739136,0.6401434309181918
84,NbSe2,d:/cursor_file/baseline_material_generation/generated_materials/cif_files\generated_0085.cif,-0.15000000000000002,0.9,0.85,0.9500000000000001,0.7570246544376107,0.08652053773403168,0.963701069355011,0.9677107334136963,0.7395543456077576,0.828382312534944,-0.03173973113298417,0.9254804277420045,0.8970842933654786,0.865821738243103,0.8929681663002593
85,TaS2,d:/cursor_file/baseline_material_generation/generated_materials/cif_files\generated_0086.cif,-0.15000000000000002,0.9,0.85,0.9500000000000001,0.7570246544376107,0.09922756254673004,0.9595333337783813,0.9639127850532532,0.7278766632080078,0.8108051380139276,-0.02538621872663499,0.9238133335113525,0.8955651140213012,0.8611506652832033,0.9006152106219467
86,Te2Mo,d:/cursor_file/baseline_material_generation/generated_materials/cif_files\generated_0087.cif,-0.15000000000000002,0.9,0.85,0.9500000000000001,0.7570246544376107,0.08839113265275955,0.9625741243362427,0.9664920568466187,0.7372324466705322,0.8253990810450649,-0.030804433673620235,0.9250296497344972,0.8965968227386475,0.8648929786682129,0.8939391832382468
87,WS2,d:/cursor_file/baseline_material_generation/generated_materials/cif_files\generated_0088.cif,-0.15000000000000002,0.9,0.85,0.9500000000000001,0.7570246544376107,0.09704965353012085,0.9606562852859497,0.964888870716095,0.7311481833457947,0.8141251187158535,-0.026475173234939586,0.9242625141143799,0.8959555482864381,0.862459273338318,0.8994312178781482
88,MoS2,d:/cursor_file/baseline_material_generation/generated_materials/cif_files\generated_0089.cif,-0.15000000000000002,0.9,0.85,0.9500000000000001,0.7570246544376107,0.08479063212871552,0.9651095867156982,0.9690616130828857,0.7433325052261353,0.8315362589932871,-0.032604683935642254,0.9260438346862794,0.8976246452331543,0.8673330020904542,0.8922269652117548
89,WSe2,d:/cursor_file/baseline_material_generation/generated_materials/cif_files\generated_0090.cif,-0.15000000000000002,0.9,0.85,0.9500000000000001,0.7570246544376107,0.09869833290576935,0.9595233798027039,0.9637278318405151,0.7285913228988647,0.8114428225524827,-0.025650833547115337,0.9238093519210816,0.8954911327362061,0.861436529159546,0.9002599988578341
90,VS2,d:/cursor_file/baseline_material_generation/generated_materials/cif_files\generated_0091.cif,-0.15000000000000002,0.9,0.85,0.9500000000000001,0.7570246544376107,0.08023303002119064,0.9669585227966309,0.970874011516571,0.7487145066261292,0.8384106067284823,-0.03488348498940469,0.9267834091186524,0.8983496046066284,0.8694858026504517,0.8896940447853624
91,TiC2,d:/cursor_file/baseline_material_generation/generated_materials/cif_files\generated_0092.cif,0.35,0.9,0.85,0.8,0.6136387855766426,0.25913792848587036,0.95148104429245,0.9674504399299622,0.6717240214347839,0.6739891917284714,0.30456896424293517,0.92059241771698,0.8969801759719849,0.7486896085739136,0.6401434309181918
92,NbSe2,d:/cursor_file/baseline_material_generation/generated_materials/cif_files\generated_0093.cif,-0.15000000000000002,0.9,0.85,0.9500000000000001,0.7570246544376107,0.08652053773403168,0.963701069355011,0.9677107334136963,0.7395543456077576,0.828382312534944,-0.03173973113298417,0.9254804277420045,0.8970842933654786,0.865821738243103,0.8929681663002593
93,TaS2,d:/cursor_file/baseline_material_generation/generated_materials/cif_files\generated_0094.cif,-0.15000000000000002,0.9,0.85,0.9500000000000001,0.7570246544376107,0.09922756254673004,0.9595333337783813,0.9639127850532532,0.7278766632080078,0.8108051380139276,-0.02538621872663499,0.9238133335113525,0.8955651140213012,0.8611506652832033,0.9006152106219467
94,Te2Mo,d:/cursor_file/baseline_material_generation/generated_materials/cif_files\generated_0095.cif,-0.15000000000000002,0.9,0.85,0.9500000000000001,0.7570246544376107,0.08839113265275955,0.9625741243362427,0.9664920568466187,0.7372324466705322,0.8253990810450649,-0.030804433673620235,0.9250296497344972,0.8965968227386475,0.8648929786682129,0.8939391832382468
95,WS2,d:/cursor_file/baseline_material_generation/generated_materials/cif_files\generated_0096.cif,-0.15000000000000002,0.9,0.85,0.9500000000000001,0.7570246544376107,0.09704965353012085,0.9606562852859497,0.964888870716095,0.7311481833457947,0.8141251187158535,-0.026475173234939586,0.9242625141143799,0.8959555482864381,0.862459273338318,0.8994312178781482
96,MoS2,d:/cursor_file/baseline_material_generation/generated_materials/cif_files\generated_0097.cif,-0.15000000000000002,0.9,0.85,0.9500000000000001,0.7570246544376107,0.08479063212871552,0.9651095867156982,0.9690616130828857,0.7433325052261353,0.8315362589932871,-0.032604683935642254,0.9260438346862794,0.8976246452331543,0.8673330020904542,0.8922269652117548
97,WSe2,d:/cursor_file/baseline_material_generation/generated_materials/cif_files\generated_0098.cif,-0.15000000000000002,0.9,0.85,0.9500000000000001,0.7570246544376107,0.09869833290576935,0.9595233798027039,0.9637278318405151,0.7285913228988647,0.8114428225524827,-0.025650833547115337,0.9238093519210816,0.8954911327362061,0.861436529159546,0.9002599988578341
98,VS2,d:/cursor_file/baseline_material_generation/generated_materials/cif_files\generated_0099.cif,-0.15000000000000002,0.9,0.85,0.9500000000000001,0.7570246544376107,0.08023303002119064,0.9669585227966309,0.970874011516571,0.7487145066261292,0.8384106067284823,-0.03488348498940469,0.9267834091186524,0.8983496046066284,0.8694858026504517,0.8896940447853624
99,TiC2,d:/cursor_file/baseline_material_generation/generated_materials/cif_files\generated_0100.cif,0.35,0.9,0.85,0.8,0.6136387855766426,0.25913792848587036,0.95148104429245,0.9674504399299622,0.6717240214347839,0.6739891917284714,0.30456896424293517,0.92059241771698,0.8969801759719849,0.7486896085739136,0.6401434309181918
